数据日期,客户编号,客户编号转码,客户名称,合同流水号,合同编号,年初风险分类名称,最新风险分类结果,年初风险分类,最新风险分类,最新风险五级分类,合同期限(年),短中长期贷款标识,客户所属省/市,业务品种大类,分区日期: [yyyyMMdd],一级分行名称,账务机构代码,账务机构名称,账务机构全路径,合同账务机构,合同状态,合同到期日期,合同经办人,实际发放日期,实际到期日期,合同终结日期,授信申请流水号,债项审批通知书流水号,主体通知书流水号,债项额度编号,授信协议额度流水号,授信协议通知书流水号,授信协议合同流水号,是否占用额度,占用额度客户编号,额度占用方角色,额度占用方债项审批通知书流水号,占用债项授信额度流水号,第三方额度流水号,第三方额度审批通知书流水号,占用第三方额度客户编号,基准利率代号,浮动类型,计息方式,计息周期,源系统业务品种名称,业务品种名称,业务类别名称,产品代码,发生类型,货币种类,还款方式名称,主要担保方式名称,国标行业投向代码,国标行业投向名称,本行投向代码,相关科目代码,相关科目名称,委托人客户类型,客户考核分类,客户考核预分类,经济类型代码,所在行政区划名称,控股类型（企业出资人经济成分）,首次风险分类时间,最新风险分类时间,系统控制类型,系统控制模板类型,合同模式标识,数据来源系统代码,战略新兴产业类型代码,战略新兴产业类型名称,承诺业务品种,汇率（本外币折人民币）,客户所属集团名称,客户所属集团,客户所属国标行业名称,贷款余额(万元),合同金额(万元)
2026-06-30,900000000071,A00071,嘉禾能源股份有限公司,20240122001088B,601708933727-7,0102--正常2,0101--正常1,正常,正常,正常,3.0,中期,湖南省,公司固定贷款,2026-06-30,长沙分行,00212,长沙市城南支行,"0108001,0140001,430104,00212",00212,301--已生效待下柜,2027-01-22,JB1209,2024-01-22,2027-01-22,,zxsq2024012200108MO,tz2024012200108EL,tz2024011600108NM,FXQYF606L35788147164578327110221261693592,,,,1--是,900000000071,01--融资人,tz2024012200108EL,FXQYF606L35788147164578327110221261693592,,,,01700Y05,0--浮动值浮动,1--不分段计息,2--按年计息,工业厂房开发贷款,1010208--工业厂房开发贷款,2001--单一债项,105020800,0100--正常申请,01--人民币,0102--分期等额本息,30202--工业用地土地使用权抵押,F5213,F5213--便利店零售,99,113201,113201--普通中期贷款,企业法人,成长客户,潜力,110,430104--湖南省--长沙市--岳麓区,A0101--国有相对控股,2024-04-16 09:09:50,2026-03-19 18:51:24,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010208--工业厂房开发贷款,1.0,嘉禾产业集团有限公司,有,F5213--便利店零售,884.3,4547.82
2026-06-30,900000000016,A00016,宏泰建设集团有限公司,20220913001097O,806052353529-2,0203--关注3,0101--正常1,关注,正常,正常,7.0,长期,山东省,公司固定贷款,2026-06-30,济南分行,00211,济南市高新支行,"0108001,0140001,370102,00211",00211,301--已生效待下柜,2029-09-13,JB3399,2022-09-13,2029-11-12,,zxsq2022091300109UP,tz2022091300109WK,tz2022091200109RR,FXQYF730L09985238114936081514878181574157,,,,1--是,900000000016,01--融资人,tz2022091300109WK,FXQYF730L09985238114936081514878181574157,,,,01700Y05,0--浮动值浮动,1--不分段计息,3--利随本清,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0302--重组-借新还旧（不变更主体）,01--人民币,02--到期还款,30201--商业用地土地使用权抵押,F5162,F5162--石油及制品批发,98,113301,113301--普通长期贷款,企业法人,重点客户,价值,190,370102--山东省--济南市--历下区,B0301--外商相对控股,2022-11-07 16:19:11,2025-04-05 09:22:09,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,2,2-高端装备制造产业,1010302--公司商用房按揭贷款,1.0,,无,F5162--石油及制品批发,642.32,1383.46
2026-06-30,900000000066,A00066,星海能源股份有限公司,20230316001106Z,993524117632-8,0300--次级,0102--正常2,不良,正常,正常,2.0,中期,北京市,公司流动贷款,2026-06-30,北京分行,00215,北京市高新支行,"0108001,0140001,110105,00215",00215,302--已生效终止下柜,2025-03-16,JB0227,2023-03-16,2025-03-16,2025-03-30,zxsq2023031600110JS,tz2023031600110H5,tz2023031200110YP,FXQYF310L52844293352594974975243056781606,,,,1--是,900000000066,01--融资人,tz2023031600110H5,FXQYF310L52844293352594974975243056781606,,,,01700Y01,0--浮动值浮动,1--不分段计息,1--按季计息,公司流动资金贷款,10101--公司流动资金贷款,2002--组合债项,105030000,0100--正常申请,01--人民币,0101--分期等额本金,40102--定期保证金,K7040,K7040--房地产租赁经营,85,113201,113201--普通中期贷款,企业法人,成长客户,潜力,174,110105--北京市--北京市--朝阳区,A0101--国有相对控股,2023-03-27 08:20:39,2025-08-20 13:52:28,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10101--公司流动资金贷款,1.0,新科产业集团有限公司,有,K7040--房地产租赁经营,0.0,12703.11
2026-06-30,900000000086,A00086,星海食品有限公司,2024062700111PC,401505564800-1,0103--正常3,0103--正常3,正常,正常,正常,2.0,中期,天津市,公司固定贷款,2026-06-30,天津分行,00212,天津市城南支行,"0108001,0140001,120101,00212",00212,301--已生效待下柜,2026-06-27,JB1778,2024-06-27,2026-08-26,,zxsq2024062700111ZV,tz20240627001110R,tz2024061100111CA,FXQYF700L09810259761860615670089180280303,,,,1--是,900000000086,01--融资人,tz20240627001110R,FXQYF700L09810259761860615670089180280303,,,,14802D01,0--浮动值浮动,4--满月分段计息,1--按季计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0100--正常申请,01--人民币,0102--分期等额本息,40904--商业承兑汇票质押,C1369,C1369--其他水产品加工,45,113201,113201--普通中期贷款,企业法人,成长客户,潜力,130,120101--天津市--天津市--和平区,A0201--集体相对控股,2024-08-29 13:00:43,2026-01-11 14:46:40,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010302--公司商用房按揭贷款,1.0,嘉禾产业集团有限公司,有,C1369--其他水产品加工,1173.46,1461.71
2026-06-30,900000000085,A00085,鼎盛商贸有限公司,2025101100112AB,739927999996-5,0101--正常1,0102--正常2,正常,正常,正常,0.5,短期,陕西省,公司流动贷款,2026-06-30,西安分行,00225,西安市营业部,"0108001,0140001,610113,00225",00225,301--已生效待下柜,2026-04-11,JB4319,2025-10-11,2026-04-11,,zxsq2025101100112KL,tz2025101100112KD,tz20250927001125Z,FXQYF226L13270272208874323454698363167324,,,,1--是,900000000085,01--融资人,tz2025101100112KD,FXQYF226L13270272208874323454698363167324,,,,14802D01,0--浮动值浮动,1--不分段计息,3--利随本清,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,30202--工业用地土地使用权抵押,G5431,G5431--普通货物道路运输,90,113101,113101--普通短期贷款,企业法人,成长客户,潜力,171,610113--陕西省--西安市--雁塔区,B0202--港澳台绝对控股,2025-11-17 15:13:19,2026-05-31 18:35:16,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,2,2-高端装备制造产业,10107--流动资金额度循环贷款,1.0,新科产业集团有限公司,有,G5431--普通货物道路运输,369.78,7395.62
2026-06-30,900000000018,A00018,新科电子股份有限公司,202312300011363,753674732439-8,0101--正常1,0300--次级,正常,不良,次级,2.0,中期,江苏省,公司固定贷款,2026-06-30,南京分行,00219,南京市城北支行,"0108001,0140001,320106,00219",00219,301--已生效待下柜,2025-12-28,JB9229,2023-12-30,2025-12-28,,zxsq2023123000113XA,tz2023123000113R5,tz2023121700113LI,FXQYF519L73437537626278346047196446531443,,,,1--是,900000000018,01--融资人,tz2023123000113R5,FXQYF519L73437537626278346047196446531443,,,,01700Y05,0--浮动值浮动,1--不分段计息,4--手工计息,项目贷款,1010203--项目贷款,2001--单一债项,105020300,0100--正常申请,01--人民币,02--到期还款,40101--活期保证金,G5443,G5443--公路管理与养护,24,113201,113201--普通中期贷款,企业法人,基础客户,长尾,141,320106--江苏省--南京市--鼓楼区,B0101--私人相对控股,2024-02-08 13:07:22,2026-02-10 11:34:17,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,4,4-生物产业,1010203--项目贷款,1.0,,无,G5443--公路管理与养护,1507.24,1579.04
2026-06-30,900000000012,A00012,众联科技有限公司,2023060300114JE,660368103504-5,0203--关注3,0300--次级,关注,不良,次级,2.0,中期,青海省,公司流动贷款,2026-06-30,西宁分行,00218,西宁市中心支行,"0108001,0140001,630104,00218",00218,301--已生效待下柜,2025-06-03,JB5946,2023-06-03,2025-08-02,,zxsq202306030011490,tz2023060300114ED,tz2023053000114TU,FXQYF960L35862515966909612695214932158203,,,,1--是,900000000012,01--融资人,tz2023060300114ED,FXQYF960L35862515966909612695214932158203,,,,01700Y01,0--浮动值浮动,4--满月分段计息,0--按月计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0302--重组-借新还旧（不变更主体）,14--美元,02--到期还款,203--专业担保公司保证,C2770,C2770--卫生材料及医药用品制造,08,113201,113201--普通中期贷款,企业法人,基础客户,长尾,110,630104--青海省--西宁市--城西区,B0202--港澳台绝对控股,2023-08-05 13:26:36,2025-12-21 08:51:08,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10101--公司流动资金贷款,7.0777781035,宏泰产业集团有限公司,有,C2770--卫生材料及医药用品制造,560.19,1672.2
2026-06-30,900000000041,A00041,众联食品集团有限公司,2022101800115MB,655256814917-5,0103--正常3,0101--正常1,正常,正常,正常,3.0,中期,湖北省,公司流动贷款,2026-06-30,武汉分行,00221,武汉市城北支行,"0108001,0140001,420106,00221",00221,302--已生效终止下柜,2025-10-18,JB0281,2022-10-18,2025-11-17,2025-11-22,zxsq2022101800115QD,tz2022101800115R8,tz2022100900115IF,FXQYF186L22878712549473090294551118110513,XYED2022101800000115,xytz2022101800115G0,xyht2022101800115RD,1--是,900000000041,01--融资人,tz2022101800115R8,FXQYF186L22878712549473090294551118110513,,,,01700Y05,0--浮动值浮动,1--不分段计息,2--按年计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,41003--非上市公司股权质押,M7340,M7340--医学研究和试验发展,48,113201,113201--普通中期贷款,企业法人,重点客户,价值,141,420106--湖北省--武汉市--武昌区,A0201--集体相对控股,2022-12-06 14:16:45,2025-04-15 15:40:52,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,星海产业集团有限公司,有,M7340--医学研究和试验发展,0.0,2152.97
2026-06-30,900000000056,A00056,卓越科技集团有限公司,2026050100116QK,848928139451-2,0101--正常1,0101--正常1,正常,正常,正常,5.0,中期,福建省,公司固定贷款,2026-06-30,宁德分行,01018,宁德市营业部,"0108001,0140001,350902,01018",01018,301--已生效待下柜,2031-05-01,JB1643,2026-05-01,2031-05-01,,zxsq2026050100116X0,tz2026050100116HR,tz2026043000116US,FXQYF073L37387492773686681446130726441302,XYED2026050100000116,xytz2026050100116QG,xyht20260501001169T,1--是,900000000056,01--融资人,tz2026050100116HR,FXQYF073L37387492773686681446130726441302,,,,01700Y01,0--浮动值浮动,7--满年分段计息,1--按季计息,并购贷款,10106--并购贷款,2002--组合债项,105060000,0301--重组-借新还旧（变更主体）,01--人民币,0102--分期等额本息,202--自然人保证,C2023,C2023--刨花板制造,95,113201,113201--普通中期贷款,企业法人,重点客户,价值,159,350902--福建省--宁德市--蕉城区,B0202--港澳台绝对控股,2026-06-30 11:06:07,2026-06-30 10:35:57,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,7,7-节能环保产业,10106--并购贷款,1.0,,无,C2023--刨花板制造,3510.65,3570.15
2026-06-30,900000000063,A00063,星海医药股份有限公司,2025072000117GL,637759933643-4,0101--正常1,0300--次级,正常,不良,次级,10.0,长期,山东省,公司固定贷款,2026-06-30,济南分行,00219,济南市城北支行,"0108001,0140001,370102,00219",00219,301--已生效待下柜,2035-07-20,JB0764,2025-07-20,2035-07-20,,zxsq2025072000117HN,tz2025072000117H7,tz2025070300117RP,FXQYF152L84457530798021068102752508962530,,,,1--是,900000000063,01--融资人,tz2025072000117H7,FXQYF152L84457530798021068102752508962530,,,,14802D01,0--浮动值浮动,1--不分段计息,0--按月计息,公司商用房按揭贷款,1010302--公司商用房按揭贷款,2001--单一债项,105030200,0100--正常申请,01--人民币,02--到期还款,30202--工业用地土地使用权抵押,C3514,C3514--建筑工程用机械制造,14,113301,113301--普通长期贷款,企业法人,基础客户,长尾,190,370102--山东省--济南市--历下区,A0201--集体相对控股,2025-08-28 14:27:24,2026-02-13 15:23:54,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,1010302--公司商用房按揭贷款,1.0,,无,C3514--建筑工程用机械制造,6247.43,6877.91
2026-06-30,900000000024,A00024,瑞达商贸有限公司,2022091300118N6,911795027961-3,0101--正常1,0101--正常1,正常,正常,正常,0.5,短期,贵州省,公司流动贷款,2026-06-30,贵阳分行,00233,贵阳市城南支行,"0108001,0140001,520115,00233",00233,302--已生效终止下柜,2023-03-13,JB7477,2022-09-13,2023-03-13,2023-03-30,zxsq20220913001186T,tz2022091300118YT,tz202209080011858,FXQYF115L96853271384776630716332821389204,XYED2022091300000118,xytz20220913001185T,xyht2022091300118DX,1--是,900000000024,01--融资人,tz2022091300118YT,FXQYF115L96853271384776630716332821389204,,,,01700Y01,0--浮动值浮动,1--不分段计息,1--按季计息,公司结算帐户透支,1010401--公司结算帐户透支,2001--单一债项,105040100,0100--正常申请,01--人民币,0102--分期等额本息,30101--住房抵押,C1469,C1469--其他调味品、发酵制品制造,88,125110,125110--单位结算账户透支,企业法人,重点客户,价值,159,520115--贵州省--贵阳市--观山湖区,B0101--私人相对控股,2022-11-03 08:22:47,2025-02-12 10:10:21,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010401--公司结算帐户透支,1.0,新科产业集团有限公司,有,C1469--其他调味品、发酵制品制造,0.0,4132.86
2026-06-30,900000000076,A00076,鼎盛医药集团有限公司,20220608001193Q,281744351972-6,0101--正常1,0102--正常2,正常,正常,正常,2.0,中期,青海省,公司固定贷款,2026-06-30,西宁分行,00223,西宁市城北支行,"0108001,0140001,630104,00223",00223,302--已生效终止下柜,2024-06-08,JB7358,2022-06-08,2024-07-08,2024-08-02,zxsq2022060800119SQ,tz2022060800119T3,tz2022060300119BP,FXQYF083L50262104549097946683112849971974,XYED2022060800000119,xytz2022060800119OP,xyht2022060800119C9,1--是,900000000076,01--融资人,tz2022060800119T3,FXQYF083L50262104549097946683112849971974,,,,14802D01,0--浮动值浮动,1--不分段计息,4--手工计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,02--到期还款,201--公司法人保证,E4790,E4790--其他房屋建筑业,71,113202,113202--中期住房开发贷款,企业法人,重点客户,价值,159,630104--青海省--西宁市--城西区,A0101--国有相对控股,2022-07-02 14:16:31,2026-04-11 15:13:01,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,1,1-新一代信息技术产业,1010201--公司住房开发贷款,1.0,,无,E4790--其他房屋建筑业,0.0,7162.97
2026-06-30,900000000056,A00056,卓越科技集团有限公司,2024030900120TX,425372807535-3,0103--正常3,0101--正常1,正常,正常,正常,1.0,短期,福建省,公司流动贷款,2026-06-30,宁德分行,01022,宁德市营业部,"0108001,0140001,350902,01022",01022,302--已生效终止下柜,2025-03-09,JB2771,2024-03-09,2025-04-08,2025-05-01,zxsq2024030900120W5,tz2024030900120TS,tz2024030100120FB,FXQYF016L51917217679938947242685218087916,,,,1--是,900000000056,01--融资人,tz2024030900120TS,FXQYF016L51917217679938947242685218087916,,,,01700Y05,0--浮动值浮动,4--满月分段计息,0--按月计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0100--正常申请,01--人民币,02--到期还款,41302--收费权质押,C2023,C2023--刨花板制造,58,113101,113101--普通短期贷款,企业法人,风险客户,风险,110,350902--福建省--宁德市--蕉城区,B0201--港澳台相对控股,2024-05-06 12:44:23,2025-09-17 08:20:36,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,10101--公司流动资金贷款,1.0,,无,C2023--刨花板制造,0.0,1581.83
2026-06-30,900000000002,A00002,启航制造集团有限公司,2023102800121WY,313649131190-6,0103--正常3,0101--正常1,正常,正常,正常,3.0,中期,山东省,公司固定贷款,2026-06-30,青岛分行,00323,青岛市城南支行,"0108001,0140001,370202,00323",00323,301--已生效待下柜,2026-10-28,JB6393,2023-10-28,2026-10-28,,zxsq2023102800121F2,tz20231028001214M,tz2023102600121TX,FXQYF767L16781792645380079217512524118525,,,,1--是,900000000002,01--融资人,tz20231028001214M,FXQYF767L16781792645380079217512524118525,,,,01700Y05,0--浮动值浮动,1--不分段计息,2--按年计息,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0100--正常申请,01--人民币,0102--分期等额本息,41699--其他应收账款质押,F5213,F5213--便利店零售,95,113201,113201--普通中期贷款,企业法人,重点客户,价值,174,370202--山东省--青岛市--市南区,A0201--集体相对控股,2023-12-29 14:54:15,2026-06-24 17:07:33,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010299--其他固定资产贷款,1.0,启航产业集团有限公司,有,F5213--便利店零售,1828.41,2047.0
2026-06-30,900000000017,A00017,远景物流有限公司,2022062500122MS,239149668455-2,0103--正常3,0201--关注1,正常,关注,关注,1.0,短期,江西省,公司流动贷款,2026-06-30,南昌分行,00235,南昌市城北支行,"0108001,0140001,360113,00235",00235,301--已生效待下柜,2023-06-25,JB7143,2022-06-25,2023-06-25,,zxsq2022062500122YJ,tz2022062500122WD,tz20220616001228G,FXQYF865L10086937130405559356718762173587,XYED2022062500000122,xytz2022062500122EB,xyht2022062500122SZ,1--是,900000000017,01--融资人,tz2022062500122WD,FXQYF865L10086937130405559356718762173587,,,,01700Y01,0--浮动值浮动,5--满季分段计息,1--按季计息,公司结算帐户透支,1010401--公司结算帐户透支,2001--单一债项,105040100,0100--正常申请,14--美元,0101--分期等额本金,201--公司法人保证,C2929,C2929--塑料零件及其他塑料制品制造,86,125110,125110--单位结算账户透支,企业法人,基础客户,长尾,130,360113--江西省--南昌市--红谷滩区,A0102--国有绝对控股,2022-09-14 14:32:34,2026-06-08 08:13:38,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010401--公司结算帐户透支,6.9098202725,,无,C2929--塑料零件及其他塑料制品制造,658.67,1966.19
2026-06-30,900000000060,A00060,鼎盛医药有限公司,2024082400123B7,338420959837-3,0300--次级,0101--正常1,不良,正常,正常,2.0,中期,安徽省,公司固定贷款,2026-06-30,合肥分行,00227,合肥市中心支行,"0108001,0140001,340104,00227",00227,301--已生效待下柜,2026-08-24,JB0016,2024-08-24,2026-08-24,,zxsq202408240012399,tz2024082400123BR,tz2024081600123F9,FXQYF820L61513194496983611290267415107520,,,,1--是,900000000060,01--融资人,tz2024082400123BR,FXQYF820L61513194496983611290267415107520,,,,01700Y01,0--浮动值浮动,1--不分段计息,0--按月计息,公司厂房按揭贷款,1010305--公司厂房按揭贷款,2001--单一债项,105030500,0100--正常申请,01--人民币,02--到期还款,40102--定期保证金,C3511,C3511--矿山机械制造,43,113201,113201--普通中期贷款,企业法人,重点客户,价值,190,340104--安徽省--合肥市--蜀山区,B0302--外商绝对控股,2024-10-23 09:07:50,2026-06-07 18:26:19,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010305--公司厂房按揭贷款,1.0,,无,C3511--矿山机械制造,67.54,810.53
2026-06-30,900000000064,A00064,华盛商贸股份有限公司,20240125001242Q,559752142382-4,0103--正常3,0103--正常3,正常,正常,正常,2.0,中期,陕西省,公司固定贷款,2026-06-30,西安分行,00237,西安市城北支行,"0108001,0140001,610113,00237",00237,301--已生效待下柜,2026-01-25,JB4733,2024-01-25,2026-01-25,,zxsq202401250012413,tz2024012500124KE,tz2024010900124HI,FXQYF698L75448601601039085210934399510397,XYED2024012500000124,xytz2024012500124TX,xyht20240125001243M,1--是,900000000064,01--融资人,tz2024012500124KE,FXQYF698L75448601601039085210934399510397,,,,14802D01,0--浮动值浮动,5--满季分段计息,0--按月计息,项目贷款,1010203--项目贷款,2001--单一债项,105020300,0100--正常申请,01--人民币,0101--分期等额本金,30104--厂房抵押,C2720,C2720--化学药品制剂制造,21,113201,113201--普通中期贷款,企业法人,重点客户,价值,171,610113--陕西省--西安市--雁塔区,B0301--外商相对控股,2024-03-24 10:11:42,2025-10-03 11:22:46,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,2,2-高端装备制造产业,1010203--项目贷款,1.0,,无,C2720--化学药品制剂制造,638.71,1906.61
2026-06-30,900000000040,A00040,鼎盛食品集团有限公司,2026041800125NB,802764183228-3,0300--次级,0102--正常2,不良,正常,正常,3.0,中期,山东省,公司固定贷款,2026-06-30,济南分行,00227,济南市中心支行,"0108001,0140001,370102,00227",00227,301--已生效待下柜,2029-04-18,JB8137,2026-04-18,2029-06-17,,zxsq2026041800125U9,tz2026041800125X7,tz20260407001258U,FXQYF846L46849620824706778938681141961301,,,,1--是,900000000040,01--融资人,tz2026041800125X7,FXQYF846L46849620824706778938681141961301,,,,01700Y01,0--浮动值浮动,1--不分段计息,4--手工计息,工业厂房开发贷款,1010208--工业厂房开发贷款,2001--单一债项,105020800,0100--正常申请,01--人民币,02--到期还款,30104--厂房抵押,C3393,C3393--锻件及粉末冶金制品制造,09,113201,113201--普通中期贷款,企业法人,重点客户,价值,120,370102--山东省--济南市--历下区,A0102--国有绝对控股,2026-04-27 18:50:36,2026-05-18 16:07:42,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,1010208--工业厂房开发贷款,1.0,瑞达产业集团有限公司,有,C3393--锻件及粉末冶金制品制造,3802.97,4026.67
2026-06-30,900000000084,A00084,宏泰材料股份有限公司,2024071400126FG,463459355654-6,0101--正常1,0201--关注1,正常,关注,关注,3.0,中期,山西省,公司固定贷款,2026-06-30,太原分行,00231,太原市营业部,"0108001,0140001,140105,00231",00231,301--已生效待下柜,2027-07-14,JB1182,2024-07-14,2027-08-13,,zxsq2024071400126J5,tz2024071400126UF,tz2024070400126ME,FXQYF196L46823267845620998024601412248886,XYED2024071400000126,xytz2024071400126WE,xyht2024071400126X8,1--是,900000000084,01--融资人,tz2024071400126UF,FXQYF196L46823267845620998024601412248886,,,,14802D01,0--浮动值浮动,1--不分段计息,1--按季计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,02--到期还款,201--公司法人保证,C3581,C3581--医疗诊断、监护及治疗设备制造,98,113202,113202--中期住房开发贷款,企业法人,基础客户,长尾,120,140105--山西省--太原市--小店区,B0302--外商绝对控股,2024-08-22 13:31:42,2025-05-25 14:18:36,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,5,5-新能源汽车产业,1010201--公司住房开发贷款,1.0,,无,C3581--医疗诊断、监护及治疗设备制造,875.35,1583.54
2026-06-30,900000000023,A00023,宏泰食品股份有限公司,202404260012798,202350326769-3,0101--正常1,0101--正常1,正常,正常,正常,2.0,中期,辽宁省,公司流动贷款,2026-06-30,沈阳分行,00229,沈阳市城北支行,"0108001,0140001,210102,00229",00229,302--已生效终止下柜,2026-04-26,JB3677,2024-04-26,2026-05-26,2026-06-15,zxsq2024042600127J3,tz20240426001273Q,tz2024042000127GA,FXQYF212L50665910288916915515124438982227,,,,1--是,900000000023,01--融资人,tz20240426001273Q,FXQYF212L50665910288916915515124438982227,,,,14802D01,0--浮动值浮动,7--满年分段计息,0--按月计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,0101--分期等额本金,40101--活期保证金,N7820,N7820--环境卫生管理,23,113201,113201--普通中期贷款,企业法人,重点客户,价值,149,210102--辽宁省--沈阳市--和平区,B0301--外商相对控股,2024-07-14 09:17:41,2025-11-12 18:32:57,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,5,5-新能源汽车产业,10107--流动资金额度循环贷款,1.0,,无,N7820--环境卫生管理,0.0,4159.51
2026-06-30,900000000008,A00008,嘉禾能源集团有限公司,2023080300128G3,999645496069-8,0101--正常1,0203--关注3,正常,关注,关注,3.0,中期,浙江省,公司固定贷款,2026-06-30,宁波分行,00340,宁波市中心支行,"0108001,0140001,330212,00340",00340,301--已生效待下柜,2026-08-03,JB6594,2023-08-03,2026-09-02,,zxsq2023080300128A9,tz2023080300128SI,tz2023072300128YK,FXQYF132L39081675937179512831086961300628,,,,1--是,900000000008,01--融资人,tz2023080300128SI,FXQYF132L39081675937179512831086961300628,DSFED2023080300000128,dstz20230803001284X,900000000064,01700Y05,0--浮动值浮动,4--满月分段计息,0--按月计息,银团贷款,10108--银团贷款,2001--单一债项,105080000,0100--正常申请,01--人民币,02--到期还款,30202--工业用地土地使用权抵押,C3591,C3591--环境保护专用设备制造,57,113501,113501--银团贷款出资额,企业法人,基础客户,长尾,174,330212--浙江省--宁波市--鄞州区,B0101--私人相对控股,2023-08-12 15:54:40,2025-11-02 18:37:19,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10108--银团贷款,1.0,,无,C3591--环境保护专用设备制造,57.76,1039.61
2026-06-30,900000000023,A00023,宏泰食品股份有限公司,20231029001297J,699771094944-1,0102--正常2,0203--关注3,正常,关注,关注,7.0,长期,辽宁省,公司固定贷款,2026-06-30,沈阳分行,00231,沈阳市营业部,"0108001,0140001,210102,00231",00231,301--已生效待下柜,2030-10-28,JB2642,2023-10-29,2030-12-27,,zxsq20231029001298J,tz20231029001291V,tz2023101900129FS,FXQYF634L37678168858867315693941397706175,XYED2023102900000129,xytz2023102900129QH,xyht20231029001295X,1--是,900000000023,01--融资人,tz20231029001291V,FXQYF634L37678168858867315693941397706175,,,,14802D01,0--浮动值浮动,1--不分段计息,2--按年计息,并购贷款,10106--并购贷款,2001--单一债项,105060000,0301--重组-借新还旧（变更主体）,01--人民币,02--到期还款,203--专业担保公司保证,N7820,N7820--环境卫生管理,01,113301,113301--普通长期贷款,企业法人,成长客户,潜力,110,210102--辽宁省--沈阳市--和平区,B0202--港澳台绝对控股,2023-11-11 10:48:46,2025-12-04 13:43:04,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10106--并购贷款,1.0,,无,N7820--环境卫生管理,912.29,1741.78
2026-06-30,900000000020,A00020,鼎盛机械有限公司,20251125001302K,168577353522-8,0101--正常1,0300--次级,正常,不良,次级,3.0,中期,辽宁省,公司固定贷款,2026-06-30,大连分行,00332,大连市城南支行,"0108001,0140001,210202,00332",00332,301--已生效待下柜,2028-11-25,JB5600,2025-11-25,2028-11-25,,zxsq202511250013044,tz2025112500130FC,tz20251120001305N,FXQYF263L56942221154292596574329543024205,,,,1--是,900000000020,01--融资人,tz2025112500130FC,FXQYF263L56942221154292596574329543024205,,,,01700Y05,0--浮动值浮动,4--满月分段计息,9--满季计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,02--到期还款,40101--活期保证金,C2651,C2651--初级形态塑料及合成树脂制造,61,113202,113202--中期住房开发贷款,事业法人,成长客户,潜力,149,210202--辽宁省--大连市--中山区,B0301--外商相对控股,2026-01-26 11:09:03,2026-06-05 08:35:54,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,C2651--初级形态塑料及合成树脂制造,5332.05,6172.15
